iteration: 430, mu=10000000, J_total_sum2=45.69958166414293
iteration: 431, mu=10000000, J_total_sum2=45.69716337935812
iteration: 432, mu=10000000, J_total_sum2=45.69474536296383
iteration: 433, mu=10000000, J_total_sum2=45.69232761546077
iteration: 434, mu=10000000, J_total_sum2=45.68991013725429
iteration: 435, mu=10000000, J_total_sum2=45.68749292865191
iteration: 436, mu=10000000, J_total_sum2=45.68507598986126
iteration: 437, mu=10000000, J_total_sum2=45.68265932098866
iteration: 438, mu=10000000, J_total_sum2=45.68024292203843
iteration: 439, mu=10000000, J_total_sum2=45.67782679291282
iteration: 440, mu=10000000, J_total_sum2=45.67541093341252
iteration: 441, mu=10000000, J_total_sum2=45.67299534323784
iteration: 442, mu=10000000, J_total_sum2=45.67058002199044
iteration: 443, mu=10000000, J_total_sum2=45.66816496917569
iteration: 444, mu=10000000, J_total_sum2=45.66575018420541
iteration: 445, mu=10000000, J_total_sum2=45.6633356664012
iteration: 446, mu=10000000, J_total_sum2=45.66092141499804
iteration: 447, mu=10000000, J_total_sum2=45.65850742914837
iteration: 448, mu=10000000, J_total_sum2=45.65609370792625
iteration: 449, mu=10000000, J_total_sum2=45.65368025033202
iteration: 450, mu=10000000, J_total_sum2=45.65126705529671
iteration: 451, mu=10000000, J_total_sum2=45.64885412168698
iteration: 452, mu=10000000, J_total_sum2=45.64644144830972
iteration: 453, mu=10000000, J_total_sum2=45.64402903391685
iteration: 454, mu=10000000, J_total_sum2=45.64161687721004
iteration: 455, mu=10000000, J_total_sum2=45.63920497684515
iteration: 456, mu=10000000, J_total_sum2=45.63679333143678
iteration: 457, mu=10000000, J_total_sum2=45.6343819395624
iteration: 458, mu=10000000, J_total_sum2=45.63197079976651
iteration: 459, mu=10000000, J_total_sum2=45.62955991056435
iteration: 460, mu=10000000, J_total_sum2=45.6271492704456
iteration: 461, mu=10000000, J_total_sum2=45.62473887787768
iteration: 462, mu=10000000, J_total_sum2=45.62232873130894
iteration: 463, mu=10000000, J_total_sum2=45.61991882917143
iteration: 464, mu=10000000, J_total_sum2=45.61750916988365
iteration: 465, mu=10000000, J_total_sum2=45.61509975185295
iteration: 466, mu=10000000, J_total_sum2=45.61269057347771
iteration: 467, mu=10000000, J_total_sum2=45.61028163314931
