======================================================
SEEING RESULTS FOR JORDAN'S REWRITE USING SAME RSS LOGIC

iteration2: 1, mu=0.0001, R_average=504, R_average2=504
iteration2: 364, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 365, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 366, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 367, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 368, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 369, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 370, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 371, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 372, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 373, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 374, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 375, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 376, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 377, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 378, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 379, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 380, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 381, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 382, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 383, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 384, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 385, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 386, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 387, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 388, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 389, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 390, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 391, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 392, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 393, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 394, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 395, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 396, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 397, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 398, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 399, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 400, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 401, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 402, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 403, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 404, mu=100000, R_average=2.68684, R_average2=2.68684

iteration2: 405, mu=100000, R_average=2.68684, R_average2=2.68684

